step,0,1,2,3,4,5,6,7
317,10,5.40106,4.59894,5.40105,4.59894,9.30254e-06,5.40105,4.59895
318,10,5.40104,4.59896,5.40103,4.59896,9.2653e-06,5.40103,4.59897
319,10,5.40102,4.59898,5.40101,4.59898,9.2282e-06,5.40101,4.59899
320,10,5.401,4.599,5.40099,4.599,9.19125e-06,5.40099,4.59901
321,10,5.40098,4.59902,5.40097,4.59902,9.15445e-06,5.40097,4.59903
322,10,5.40096,4.59904,5.40095,4.59904,9.1178e-06,5.40095,4.59905
323,10,5.40094,4.59906,5.40093,4.59906,9.0813e-06,5.40093,4.59907
324,10,5.40092,4.59908,5.40091,4.59908,9.04494e-06,5.40091,4.59909
325,10,5.4009,4.5991,5.40089,4.5991,9.00873e-06,5.40089,4.59911
326,10,5.40088,4.59912,5.40087,4.59912,8.97266e-06,5.40087,4.59913
327,10,5.40086,4.59914,5.40085,4.59914,8.93674e-06,5.40085,4.59915
328,10,5.40085,4.59915,5.40084,4.59915,8.90097e-06,5.40084,4.59916
329,10,5.40083,4.59917,5.40082,4.59917,8.86533e-06,5.40082,4.59918
330,10,5.40081,4.59919,5.4008,4.59919,8.82985e-06,5.4008,4.5992
