points,value
1519,56276.6
1520,56276.6
1521,56276.7
1522,56276.7
1523,56276.7
1524,56276.7
1525,56276.7
1526,56276.7
1527,56276.8
1528,56276.8
1529,56276.8
1530,56276.8
1531,56276.8
1532,56276.8
1533,56276.9
1534,56276.9
1535,56276.9
1536,56276.9
1537,56276.9
1538,56276.9
1539,56277
1540,56277
1541,56277
1542,56277
1543,56277
1544,56277
1545,56277.1
1546,56277.1
1547,56277.1
1548,56277.1
1549,56277.1
1550,56277.1
1551,56277.2
1552,56277.2
1553,56277.2
1554,56277.2
1555,56277.2
1556,56277.2
1557,56277.3
1558,56277.3
1559,56277.3
1560,56277.3
1561,56277.3
1562,56277.3
1563,56277.4
1564,56277.4
1565,56277.4
1566,56277.4
1567,56277.4
1568,56277.4
1569,56277.5
1570,56277.5
1571,56277.5
1572,56277.5
1573,56277.5
1574,56277.5
1575,56277.6
1576,56277.6
1577,56277.6
1578,56277.6
1579,56277.6
1580,56277.6
1581,56277.7
1582,56277.7
1583,56277.7
1584,56277.7
1585,56277.7
1586,56277.7
1587,56277.8
1588,56277.8
1589,56277.8
1590,56277.8
1591,56277.8
1592,56277.8
1593,56277.9
1594,56277.9
1595,56277.9
1596,56277.9
1597,56277.9
1598,56277.9
1599,56278
1600,56278
1601,56278
1602,56278
1603,56278
1604,56278
1605,56278.1
1606,56278.1
1607,56278.1
1608,56278.1
1609,56278.1
1610,56278.1
1611,56278.2
1612,56278.2
1613,56278.2
1614,56278.2
1615,56278.2
1616,56278.2
1617,56278.3
1618,56278.3
1619,56278.3
1620,56278.3
1621,56278.3
1622,56278.3
1623,56278.4
1624,56278.4
1625,56278.4
1626,56278.4
1627,56278.4
1628,56278.4
1629,56278.5
1630,56278.5
1631,56278.5
1632,56278.5
1633,56278.5
1634,56278.5
1635,56278.6
1636,56278.6
1637,56278.6
1638,56278.6
1639,56278.6
1640,56278.6
1641,56278.7
1642,56278.7
1643,56278.7
1644,56278.7
1645,56278.7
1646,56278.7
1647,56278.8
1648,56278.8
1649,56278.8
1650,56278.8
1651,56278.8
1652,56278.8
1653,56278.9
1654,56278.9
1655,56278.9
1656,56278.9
1657,56278.9
1658,56278.9
1659,56279
1660,56279
1661,56279
1662,56279
1663,56279
1664,56279
1665,56279.1
1666,56279.1
1667,56279.1
1668,56279.1
1669,56279.1
1670,56279.1
1671,56279.2
1672,56279.2
1673,56279.2
1674,56279.2
1675,56279.2
1676,56279.2
1677,56279.3
1678,56279.3
1679,56279.3
1680,56279.3
1681,56279.3
1682,56279.3
1683,56279.4
1684,56279.4
1685,56279.4
1686,56279.4
1687,56279.4
1688,56279.4
1689,56279.5
1690,56279.5
1691,56279.5
1692,56279.5
1693,56279.5
1694,56279.5
1695,56279.6
1696,56279.6
1697,56279.6
1698,56279.6
1699,56279.6
1700,56279.6
1701,56279.7
1702,56279.7
1703,56279.7
1704,56279.7
1705,56279.7
1706,56279.7
1707,56279.8
1708,56279.8
1709,56279.8
1710,56279.8
1711,56279.8
1712,56279.8
1713,56279.9
1714,56279.9
1715,56279.9
1716,56279.9
1717,56279.9
1718,56279.9
1719,56280
1720,56280
1721,56280
1722,56280
1723,56280
1724,56280
1725,56280.1
1726,56280.1
1727,56280.1
1728,56280.1
1729,56280.1
1730,56280.1
1731,56280.2
1732,56280.2
1733,56280.2
1734,56280.2
1735,56280.2
1736,56280.3
1737,56280.3
1738,56280.3
1739,56280.3
1740,56280.3
1741,56280.3
1742,56280.4
1743,56280.4
1744,56280.4
1745,56280.4
1746,56280.4
1747,56280.4
1748,56280.5
1749,56280.5
1750,56280.5
1751,56280.5
1752,56280.5
1753,56280.5
1754,56280.6
1755,56280.6
1756,56280.6
1757,56280.6
1758,56280.6
1759,56280.6
1760,56280.7
1761,56280.7
1762,56280.7
1763,56280.7
1764,56280.7
1765,56280.7
1766,56280.8
1767,56280.8
1768,56280.8
1769,56280.8
1770,56280.8
1771,56280.8
1772,56280.9
1773,56280.9
1774,56280.9
1775,56280.9
1776,56280.9
1777,56280.9
1778,56281
1779,56281
1780,56281
1781,56281
1782,56281
1783,56281
1784,56281.1
1785,56281.1
1786,56281.1
1787,56281.1
1788,56281.1
1789,56281.1
1790,56281.2
1791,56281.2
1792,56281.2
1793,56281.2
1794,56281.2
1795,56281.2
1796,56281.3
1797,56281.3
1798,56281.3
1799,56281.3
1800,56281.3
1801,56281.4
1802,56281.4
1803,56281.4
1804,56281.4
1805,56281.4
1806,56281.4
1807,56281.5
1808,56281.5
1809,56281.5
1810,56281.5
1811,56281.5
1812,56281.5
1813,56281.6
1814,56281.6
1815,56281.6
1816,56281.6
1817,56281.6
1818,56281.6
1819,56281.7
1820,56281.7
1821,56281.7
1822,56281.7
1823,56281.7
1824,56281.7
1825,56281.8
1826,56281.8
1827,56281.8
1828,56281.8
1829,56281.8
1830,56281.8
1831,56281.9
1832,56281.9
1833,56281.9
1834,56281.9
1835,56281.9
1836,56281.9
1837,56282
1838,56282
1839,56282
1840,56282
1841,56282
1842,56282
1843,56282.1
1844,56282.1
1845,56282.1
