step,0,1,2,3,4,5,6,7
306,10,5.79286,4.20714,5.00426,4.20714,0.7886,5.00426,4.99574
307,10,5.79415,4.20585,4.99517,4.20585,0.798976,4.99517,5.00483
308,10,5.79546,4.20454,4.986,4.20454,0.809464,4.986,5.014
309,10,5.7968,4.2032,4.97674,4.2032,0.82006,4.97674,5.02326
310,10,5.79814,4.20186,4.96742,4.20186,0.830725,4.96742,5.03258
311,10,5.79949,4.20051,4.95803,4.20051,0.841458,4.95803,5.04197
312,10,5.80084,4.19916,4.94858,4.19916,0.852259,4.94858,5.05142
313,10,5.8022,4.1978,4.93907,4.1978,0.863126,4.93907,5.06093
314,10,5.80354,4.19646,4.92952,4.19646,0.874015,4.92952,5.07048
315,10,5.80486,4.19514,4.91993,4.19514,0.884927,4.91993,5.08007
316,10,5.80617,4.19383,4.91031,4.19383,0.895859,4.91031,5.08969
317,10,5.80746,4.19254,4.90065,4.19254,0.906814,4.90065,5.09935
318,10,5.80874,4.19126,4.89095,4.19126,0.91779,4.89095,5.10905
319,10,5.80999,4.19001,4.88125,4.19001,0.928739,4.88125,5.11875
320,10,5.8112,4.1888,4.87153,4.1888,0.939661,4.87153,5.12847
321,10,5.81237,4.18763,4.86182,4.18763,0.950557,4.86182,5.13818
322,10,5.81352,4.18648,4.85209,4.18648,0.961427,4.85209,5.14791
323,10,5.81463,4.18537,4.84236,4.18537,0.972272,4.84236,5.15764
324,10,5.81571,4.18429,4.83262,4.18429,0.983092,4.83262,5.16738
325,10,5.81677,4.18323,4.82288,4.18323,0.993887,4.82288,5.17712
326,10,5.8178,4.1822,4.81314,4.1822,1.00466,4.81314,5.18686
327,10,5.8188,4.1812,4.80339,4.1812,1.01541,4.80339,5.19661
328,10,5.81977,4.18023,4.79364,4.18023,1.02613,4.79364,5.20636
329,10,5.82073,4.17927,4.78389,4.17927,1.03684,4.78389,5.21611
330,10,5.82165,4.17835,4.77414,4.17835,1.04752,4.77414,5.22586
331,10,5.82256,4.17744,4.76438,4.17744,1.05817,4.76438,5.23562
332,10,5.82344,4.17656,4.75463,4.17656,1.06881,4.75463,5.24537
333,10,5.8243,4.1757,4.74487,4.1757,1.07943,4.74487,5.25513
334,10,5.82514,4.17486,4.73512,4.17486,1.09002,4.73512,5.26488
335,10,5.82597,4.17403,4.72537,4.17403,1.1006,4.72537,5.27463
336,10,5.82677,4.17323,4.71562,4.17323,1.11115,4.71562,5.28438
337,10,5.82756,4.17244,4.70587,4.17244,1.12169,4.70587,5.29413
338,10,5.82832,4.17168,4.69612,4.17168,1.1322,4.69612,5.30388
339,10,5.82908,4.17092,4.68638,4.17092,1.1427,4.68638,5.31362
340,10,5.82981,4.17019,4.67664,4.17019,1.15318,4.67664,5.32336
341,10,5.83053,4.16947,4.6669,4.16947,1.16363,4.6669,5.3331
