step,0,1,2,3,4,5,6,7,8,9,10
244,10,3.35387,6.64613,3.35387,3.54044,3.1057,3.35387,3.54044,3.1057,6.8943,3.1057
245,10,3.35381,6.64619,3.35381,3.54042,3.10577,3.35381,3.54042,3.10577,6.89423,3.10577
246,10,3.35376,6.64624,3.35376,3.5404,3.10583,3.35376,3.5404,3.10583,6.89417,3.10583
247,10,3.35371,6.64629,3.35371,3.54039,3.1059,3.35371,3.54039,3.1059,6.8941,3.1059
248,10,3.35366,6.64634,3.35366,3.54038,3.10596,3.35366,3.54038,3.10596,6.89404,3.10596
249,10,3.35362,6.64638,3.35362,3.54036,3.10602,3.35362,3.54036,3.10602,6.89398,3.10602
250,10,3.35357,6.64643,3.35357,3.54035,3.10608,3.35357,3.54035,3.10608,6.89392,3.10608
251,10,3.35353,6.64647,3.35353,3.54034,3.10614,3.35353,3.54034,3.10614,6.89386,3.10614
252,10,3.35348,6.64652,3.35348,3.54032,3.1062,3.35348,3.54032,3.1062,6.8938,3.1062
253,10,3.35344,6.64656,3.35344,3.54031,3.10625,3.35344,3.54031,3.10625,6.89375,3.10625
254,10,3.3534,6.6466,3.3534,3.5403,3.1063,3.3534,3.5403,3.1063,6.8937,3.1063
255,10,3.35336,6.64664,3.35336,3.54029,3.10635,3.35336,3.54029,3.10635,6.89365,3.10635
